,clinician,case_list
0,clinician_1,"[1, 27, 29, 31, 57, 59, 61, 87, 89, 91, 117, 119, 121, 147, 149, 151, 177, 179, 181, 207, 209, 211, 237, 239, 241, 267, 269, 271, 297, 299]"
1,clinician_2,"[2, 28, 30, 32, 58, 60, 62, 88, 90, 92, 118, 120, 122, 148, 150, 152, 178, 180, 182, 208, 210, 212, 238, 240, 242, 268, 270, 272, 298, 300]"
2,clinician_22,"[18, 20, 22, 48, 50, 52, 78, 80, 82, 108, 110, 112, 138, 140, 142, 168, 170, 172, 198, 200, 202, 228, 230, 232, 258, 260, 262, 288, 290, 292]"
3,clinician_17,"[13, 15, 17, 43, 45, 47, 73, 75, 77, 103, 105, 107, 133, 135, 137, 163, 165, 167, 193, 195, 197, 223, 225, 227, 253, 255, 257, 283, 285, 287]"
4,clinician_26,"[22, 24, 26, 52, 54, 56, 82, 84, 86, 112, 114, 116, 142, 144, 146, 172, 174, 176, 202, 204, 206, 232, 234, 236, 262, 264, 266, 292, 294, 296]"
5,clinician_15,"[11, 13, 15, 41, 43, 45, 71, 73, 75, 101, 103, 105, 131, 133, 135, 161, 163, 165, 191, 193, 195, 221, 223, 225, 251, 253, 255, 281, 283, 285]"
6,clinician_18,"[14, 16, 18, 44, 46, 48, 74, 76, 78, 104, 106, 108, 134, 136, 138, 164, 166, 168, 194, 196, 198, 224, 226, 228, 254, 256, 258, 284, 286, 288]"
7,clinician_7,"[3, 5, 7, 33, 35, 37, 63, 65, 67, 93, 95, 97, 123, 125, 127, 153, 155, 157, 183, 185, 187, 213, 215, 217, 243, 245, 247, 273, 275, 277]"
8,clinician_29,"[25, 27, 29, 55, 57, 59, 85, 87, 89, 115, 117, 119, 145, 147, 149, 175, 177, 179, 205, 207, 209, 235, 237, 239, 265, 267, 269, 295, 297, 299]"
9,clinician_24,"[20, 22, 24, 50, 52, 54, 80, 82, 84, 110, 112, 114, 140, 142, 144, 170, 172, 174, 200, 202, 204, 230, 232, 234, 260, 262, 264, 290, 292, 294]"
10,clinician_20,"[16, 18, 20, 46, 48, 50, 76, 78, 80, 106, 108, 110, 136, 138, 140, 166, 168, 170, 196, 198, 200, 226, 228, 230, 256, 258, 260, 286, 288, 290]"
11,clinician_28,"[24, 26, 28, 54, 56, 58, 84, 86, 88, 114, 116, 118, 144, 146, 148, 174, 176, 178, 204, 206, 208, 234, 236, 238, 264, 266, 268, 294, 296, 298]"
12,clinician_10,"[6, 8, 10, 36, 38, 40, 66, 68, 70, 96, 98, 100, 126, 128, 130, 156, 158, 160, 186, 188, 190, 216, 218, 220, 246, 248, 250, 276, 278, 280]"
13,clinician_8,"[4, 6, 8, 34, 36, 38, 64, 66, 68, 94, 96, 98, 124, 126, 128, 154, 156, 158, 184, 186, 188, 214, 216, 218, 244, 246, 248, 274, 276, 278]"
14,clinician_4,"[2, 4, 30, 32, 34, 60, 62, 64, 90, 92, 94, 120, 122, 124, 150, 152, 154, 180, 182, 184, 210, 212, 214, 240, 242, 244, 270, 272, 274, 300]"
15,clinician_5,"[1, 3, 5, 31, 33, 35, 61, 63, 65, 91, 93, 95, 121, 123, 125, 151, 153, 155, 181, 183, 185, 211, 213, 215, 241, 243, 245, 271, 273, 275]"
16,clinician_3,"[1, 3, 29, 31, 33, 59, 61, 63, 89, 91, 93, 119, 121, 123, 149, 151, 153, 179, 181, 183, 209, 211, 213, 239, 241, 243, 269, 271, 273, 299]"
17,clinician_23,"[19, 21, 23, 49, 51, 53, 79, 81, 83, 109, 111, 113, 139, 141, 143, 169, 171, 173, 199, 201, 203, 229, 231, 233, 259, 261, 263, 289, 291, 293]"
18,clinician_11,"[7, 9, 11, 37, 39, 41, 67, 69, 71, 97, 99, 101, 127, 129, 131, 157, 159, 161, 187, 189, 191, 217, 219, 221, 247, 249, 251, 277, 279, 281]"
19,clinician_16,"[12, 14, 16, 42, 44, 46, 72, 74, 76, 102, 104, 106, 132, 134, 136, 162, 164, 166, 192, 194, 196, 222, 224, 226, 252, 254, 256, 282, 284, 286]"
20,clinician_25,"[21, 23, 25, 51, 53, 55, 81, 83, 85, 111, 113, 115, 141, 143, 145, 171, 173, 175, 201, 203, 205, 231, 233, 235, 261, 263, 265, 291, 293, 295]"
21,clinician_9,"[5, 7, 9, 35, 37, 39, 65, 67, 69, 95, 97, 99, 125, 127, 129, 155, 157, 159, 185, 187, 189, 215, 217, 219, 245, 247, 249, 275, 277, 279]"
22,clinician_12,"[8, 10, 12, 38, 40, 42, 68, 70, 72, 98, 100, 102, 128, 130, 132, 158, 160, 162, 188, 190, 192, 218, 220, 222, 248, 250, 252, 278, 280, 282]"
