case,first_assessor,second_assessor,third_assessor
1,clinician_1,clinician_3,clinician_5
2,clinician_2,clinician_4,clinician_6
3,clinician_3,clinician_5,clinician_7
4,clinician_4,clinician_6,clinician_8
5,clinician_5,clinician_7,clinician_9
6,clinician_6,clinician_8,clinician_10
7,clinician_7,clinician_9,clinician_11
8,clinician_8,clinician_10,clinician_12
9,clinician_9,clinician_11,clinician_13
10,clinician_10,clinician_12,clinician_14
11,clinician_11,clinician_13,clinician_15
12,clinician_12,clinician_14,clinician_16
13,clinician_13,clinician_15,clinician_17
14,clinician_14,clinician_16,clinician_18
15,clinician_15,clinician_17,clinician_19
16,clinician_16,clinician_18,clinician_20
17,clinician_17,clinician_19,clinician_21
18,clinician_18,clinician_20,clinician_22
19,clinician_19,clinician_21,clinician_23
20,clinician_20,clinician_22,clinician_24
21,clinician_21,clinician_23,clinician_25
22,clinician_22,clinician_24,clinician_26
23,clinician_23,clinician_25,clinician_27
24,clinician_24,clinician_26,clinician_28
25,clinician_25,clinician_27,clinician_29
26,clinician_26,clinician_28,clinician_30
27,clinician_27,clinician_29,clinician_1
28,clinician_28,clinician_30,clinician_2
29,clinician_29,clinician_1,clinician_3
30,clinician_30,clinician_2,clinician_4
31,clinician_1,clinician_3,clinician_5
32,clinician_2,clinician_4,clinician_6
33,clinician_3,clinician_5,clinician_7
34,clinician_4,clinician_6,clinician_8
35,clinician_5,clinician_7,clinician_9
36,clinician_6,clinician_8,clinician_10
37,clinician_7,clinician_9,clinician_11
38,clinician_8,clinician_10,clinician_12
39,clinician_9,clinician_11,clinician_13
40,clinician_10,clinician_12,clinician_14
41,clinician_11,clinician_13,clinician_15
42,clinician_12,clinician_14,clinician_16
43,clinician_13,clinician_15,clinician_17
44,clinician_14,clinician_16,clinician_18
45,clinician_15,clinician_17,clinician_19
46,clinician_16,clinician_18,clinician_20
47,clinician_17,clinician_19,clinician_21
48,clinician_18,clinician_20,clinician_22
49,clinician_19,clinician_21,clinician_23
50,clinician_20,clinician_22,clinician_24
51,clinician_21,clinician_23,clinician_25
52,clinician_22,clinician_24,clinician_26
53,clinician_23,clinician_25,clinician_27
54,clinician_24,clinician_26,clinician_28
55,clinician_25,clinician_27,clinician_29
56,clinician_26,clinician_28,clinician_30
57,clinician_27,clinician_29,clinician_1
